Index,Artist,title,year,data,Absolute Chords,section,formtype,looptype,MBID,source
111,Coldplay ,A Sky Full of Stars ,2014,|4|5|6-| . 1 . . |,|CM|DM|Em| . GM . .|,$d,,Plateau: ascending passing loop,f42ca644-0fa7-4ec5-9089-542c9a1b8be3,Richards
417,Vanessa Carlton,A Thousand Miles,2002,|4 5|,|EM F#M|,$d,,Plateau Shuttle,3ee4663e-addb-38c8-8806-a7598605df85, Park: MusicID Top 200 (2000-2020)
283,Orianthi ,According to You ,2009,|1| 5| 6-| 4|,,$a,,Axis-C,b62b2506-0632-4601-8b72-1738f5c8b90a,Richards
283,Orianthi ,According to You ,2009,|4|5|,|BbM|CM|,$c,,Plateau Shuttle,b62b2506-0632-4601-8b72-1738f5c8b90a,Richards
283,Orianthi ,According to You ,2009,|6-|4|1|3-|,|Dm|BbM|FM|Am|,$e,,Axis-A-sub3-,b62b2506-0632-4601-8b72-1738f5c8b90a,Richards
283,Orianthi ,According to You ,2009,|6-|4|||,|Dm|BbM|||,$turn,,minor-major Plateau,b62b2506-0632-4601-8b72-1738f5c8b90a,Richards
112,John Legend ,All of Me ,2014,|6-| 4| 1| 5|,|Fm|DbM|AbM|EbM|,"$In, $Vr, $DCh",,Axis-A,45c67308-c345-431b-b475-f5cd0512d03f,"Richards, Park: MusicID Top 200 (2000-2020)"
112,John Legend ,All of Me ,2014,|1|| 6-|| 4|| 5||,|AbM||Fm||DbM||EbM||,$Ch,,Doo-wop,45c67308-c345-431b-b475-f5cd0512d03f,"Richards, Park: MusicID Top 200 (2000-2020)"
43,Krewella,Be There,2017,|6-| 4| 1| . 5|,|Em|CM|GM|. DM|,"$Vr, $PCh",,Axis-A,ea67aac0-fb22-4a44-abab-04f98d7d2b49,"Barna, 2020"
43,Krewella,Be There,2017,|6- . . 4|| 1 . . 5||,|Em . . CM||GM . .  DM||,$a,,Axis-A,ea67aac0-fb22-4a44-abab-04f98d7d2b49,"Barna, 2020"
412,Brooks and Dunn ,Red Dirt Road ,2003,| 6- . . 4 || 1 . . 5 ||,|Am . . FM|| CM . . GM || ,$a,,Axis-A,54f5cc96-7cba-3bad-811f-689ad1f1e35c,Richards
253,Lady Gaga ,Alejandro ,2010,|4|1|5|6-|,|GM|DM|AM|Bm|,$b,,Axis-F,ac8daee0-b538-428d-bf39-63f519ee7536,Richards
253,Lady Gaga ,Alejandro ,2010,|4|1|5||,|GM|DM|AM||,$bCad,,Closed Double Plagal,ac8daee0-b538-428d-bf39-63f519ee7536,Richards
418,Michelle Branch ,All You Wanted ,2002,| 6- | 4 | 1 | 5 |,|Fm DbM|AbM EbM|,$b,,Axis-A,9afcd549-fe70-41d5-a928-46d42b0a8ea0,Richards
418,Michelle Branch ,All You Wanted ,2002,|4||5||,Db||EbM||,$c,,Plateau Shuttle,9afcd549-fe70-41d5-a928-46d42b0a8ea0,Richards
284,Kelly Clarkson ,Already Gone ,2009,|1 || 5 || 6- || 4 ||,|AM||EM||F#m||DM||,$b,,Axis-C,3e4a5070-273f-3fa4-92d5-7720e75a7c5d,Richards
114,5 Seconds of Summer,Amnesia ,2014,| 1 | 5 | 6- | 4 |,|DM|AM|Bm|GM|,$b,,Axis-C,e2e4dfea-727b-4d17-8ab9-de98bcb82c1d,Richards
114,5 Seconds of Summer,Amnesia ,2014,|5| 6-| 4| 1|,|AM|Bm|GM|DM|,$bridge,,Axis-G,e2e4dfea-727b-4d17-8ab9-de98bcb82c1d,Richards
336,Timbaland feat. OneRepublic ,Apologize ,2007,|6-|4|1|5|,|Cm|AbM|EbM|BbM|,$a,,Axis-A,8583154f-e5a5-4247-879e-52937d2d3238,"Park: MusicID Top 200 (2000-2020), Richards"
461,BBMak ,Back Here ,2000,|4|1|5|6-|,|DbM |AbM|EbM |Fm|,$b,,Axis-F,8ead64ce-563c-4ef8-aa0d-d3e4e2253a9a,Richards
222,Taylor Swift ,Back to December ,2011,|6-|4|1|5|,|Bm|GM|DM|AM|,$d,,Axis-A,228cd62c-2a8f-3aa9-b4d4-6d4ee76f5daf,Richards
222,Taylor Swift ,Back to December ,2011,|6-||4||1||5||,|Bm||GM||DM||AM||,$d_cad,,Axis-A,228cd62c-2a8f-3aa9-b4d4-6d4ee76f5daf,Richards
73,Taylor Swift feat. Kendrick Lamar ,Bad Blood ,2015,|4 . . 1||5 . . 6-||,|CM . . GM||DM . . Em||,"$a, $hook_2",,Axis-F,c23570a3-467c-4ee8-80ff-0a04b339e844,Richards
73,Taylor Swift feat. Kendrick Lamar ,Bad Blood ,2015,|4 . . 1||5||,|CM . . GM||DM||,$aCad,,Closed Double Plagal,c23570a3-467c-4ee8-80ff-0a04b339e844,Richards
115,Enrique Iglesias feat. Descemer Bueno and Gente de Zona ,Bailando ,2014,|6-||4||1||5||,|Em||CM||GM||DM||,$a,,Axis-A,47d2f937-92c6-4039-944e-720c41baf3e4,Richards
115,Enrique Iglesias feat. Descemer Bueno and Gente de Zona ,Bailando ,2014,|2-||4||6-||5||,|Am||CM||Em||DM||,$b,,Get Lucky-d,47d2f937-92c6-4039-944e-720c41baf3e4,Richards
117,Lady Antebellum ,Bartender ,2014,|4||5||,|GM||AM||,$a_cad1,,Plateau Shuttle,4983ed7d-c03b-407a-9971-9b09618f50e5,Richards
117,Lady Antebellum ,Bartender ,2014,|4||6-||5||2-||,|GM||BM||AM||Em|||,$b_turnaround2,,Get Lucky-F,4983ed7d-c03b-407a-9971-9b09618f50e5,Richards
286,Jordin Sparks ,Battlefield ,2009,|4|1|5||,|CM|GM|DM||,$d_turnaround,,Closed Double Plagal,1ca64a3d-7d60-4d2a-86d1-5ce0928cff5e,Richards
439,3 Doors Down,Be Like That ,2001,|1| 5| 6-| 4|,|GM|DM|Em|CM|,$a,,Axis-C,9acbe115-cdf5-4cf8-968c-27ef118c631d,Richards
439,3 Doors Down,Be Like That ,2001,|6-|4|,|Em|CM|,$c,,minor-major Plateau,9acbe115-cdf5-4cf8-968c-27ef118c631d,Richards
287,Akon feat. Colby O'Donis and Kardinal Offishall ,Beautiful ,2009,|6- . . 4||1 . . 5||,|Cm . . AbM||EbM . . BbM||,$a,,Axis-A,2a6bca35-6789-4121-99d1-638f683c28b8,Richards
192,Justin Bieber featuring Nicki Minaj,Beauty and a Beat,2012,|4 | 2-| 6-| 5|,|FM| Dm| Am| GM|,$a,,Lydian-Aeolian Four Chords,63b9a815-fab0-4aaf-80ee-eb92c5bdd179,Peres
192,Justin Bieber featuring Nicki Minaj,Beauty and a Beat,2012,|4|5|6-|1|,|FM| GM| Am| CM |,$b,,Plateau: ascending passing loop,63b9a815-fab0-4aaf-80ee-eb92c5bdd179,Peres
367,Kelly Clarkson,Behind These Hazel Eyes ,2005,|6- . . 4||1 . . 5||,|F#m . . DM||AM . . EM||,$a,,Axis-A,b374d34f-6b97-33a1-8895-079e0eceb235,Richards
367,Kelly Clarkson,Behind These Hazel Eyes ,2005,| 6- | 4 | 1 | 5 |,|F#m|DM|AM|EM|,$aa,,Axis-A,b374d34f-6b97-33a1-8895-079e0eceb235,Richards
337,Fergie ,Big Girls Don't Cry ,2007,|4||1||5||||,|CM||GM||DM|||||,$b,,Closed Double Plagal,ecb89a04-eb82-316f-bf18-5b0204af2869, Park: MusicID Top 200 (2000-2020)
