F/E,"5, 9, 0, 4"
Fmaj/E,"5, 9, 0, 4"
F/G,"5, 9, 0, 7"
Fadd2,"5, 9, 0, 7"
F2/A,"5, 9, 0, 7"
F2,"5, 9, 0, 7"
F9,"5, 9, 0, 7"
Fmaj9,"5, 9, 0, 7"
F#Min,"5, 9, 1"
F#m,"5, 9, 1"
F#m/A,"5, 9, 1"
F#m/C#,"5, 9, 1"
F+,"5, 9, 1"
F+/C#,"5, 9, 1"
Faug,"5, 9, 1"
F#m/D,"5, 9, 1, 2"
F(b5),"5, 9, 11"
F#5,"6, 1"
F#/Bb,"6, 10, 1"
F#,"6, 10, 1"
F#/A#,"6, 10, 1"
F#M,"6, 10, 1"
F#maj,"6, 10, 1"
Gb,"6, 10, 1"
Gb/Db,"6, 10, 1"
F#11,"6, 10, 1, 11"
F#7,"6, 10, 1, 4"
F#7/A#,"6, 10, 1, 4"
F#7/C#,"6, 10, 1, 4"
F#7/E,"6, 10, 1, 4"
F#maj7,"6, 10, 1, 4"
Gb7,"6, 10, 1, 4"
Gbmaj7,"6, 10, 1, 4"
F#/G,"6, 10, 1, 7"
F#/G#,"6, 10, 1, 8"
Gb9,"6, 10, 1, 8"
F#+,"6, 10, 2"
F#aug,"6, 10, 2"
F#7+5/E,"6, 10, 2, 4"
F#7+5,"6, 10, 2, 4"
F#sus4,"6, 11, 1"
F#sus,"6, 11, 1"
F#7sus4,"6, 11, 1, 4"
F#m7add4,"6, 11, 1, 4"
F#+5,"6, 2"
F#sus2,"6, 8, 1"
F#dim,"6, 9, 0"
Gbdim7,"6, 9, 0"
F#dim7,"6, 9, 0, 3"
F#m7b5,"6, 9, 0, 4"
Fm#,"6, 9, 1"
Gbm,"6, 9, 1"
F#m6,"6, 9, 1, 3"
F#madd6,"6, 9, 1, 3"
F#m7,"6, 9, 1, 4"
F#m7-5,"6, 9, 1, 4"
F#m11/E,"6, 9, 1, 4, 11"
F#m7/B,"6, 9, 1, 4, 11"
F#m11,"6, 9, 1,11"
G4,"7, 0, 2"
Gadd4,"7, 0, 2"
Gsus,"7, 0, 2"
Gsus4,"7, 0, 2"
Gsus4/B,"7, 0, 2, 11"
G7sus,"7, 0, 2, 5"
G7sus4,"7, 0, 2, 5"
G5sus2sus4,"7, 0, 2, 9"
G-5,"7, 1"
G-,"7, 10, 1"
Gdim,"7, 10, 1"
Go,"7, 10, 1"
F#/D,"7, 10, 1, 2"
Gdim7,"7, 10, 1, 4"
Gm,"7, 10, 2"
Gm/Bb,"7, 10, 2"
Gm/D,"7, 10, 2"
Gm/C,"7, 10, 2, 0"
Gm11,"7, 10, 2, 0"
Gmadd11,"7, 10, 2, 0"
Gm/E,"7, 10, 2, 4"
Gm6,"7, 10, 2, 4"
Gm/F,"7, 10, 2, 5"
Gm7,"7, 10, 2, 5"
Gmmaj7,"7, 10, 2, 6"
Gm#7,"7, 10, 2, 6"
Gm9,"7, 10, 2, 9"
G(b5)/C#,"7, 11, 1"
G,"7, 11, 2"
G/B,"7, 11, 2"
G/D,"7, 11, 2"
Gmaj,"7, 11, 2"
G/C,"7, 11, 2, 0"
G11,"7, 11, 2, 0"
Gadd11,"7, 11, 2, 0"
G/A#,"7, 11, 2, 10"
G/Bb,"7, 11, 2, 10"
G/E,"7, 11, 2, 4"
G6,"7, 11, 2, 4"
G6/B,"7, 11, 2, 4"
G6/E,"7, 11, 2, 4"
Gadd13,"7, 11, 2, 4"
G6add11,"7, 11, 2, 4, 0"
G13,"7, 11, 2, 4, 5"
G13/F,"7, 11, 2, 4, 5"
G6/A,"7, 11, 2, 4, 9"
G6/9,"7, 11, 2, 4, 9"
G/F,"7, 11, 2, 5"
G7,"7, 11, 2, 5"
G7/D,"7, 11, 2, 5"
GM7,"7, 11, 2, 5"
Gma7,"7, 11, 2, 5"
Gmaj7/B,"7, 11, 2, 5"
Gmaj7,"7, 11, 2, 5"
Gmaj7/F,"7, 11, 2, 5"
Gmaj7/D,"7, 11, 2, 5"
Gmaj7/A,"7, 11, 2, 5, 9"
G/F#,"7, 11, 2, 6"
G/Gb,"7, 11, 2, 6"
Gmaj7/F#,"7, 11, 2, 6"
G/Ab,"7, 11, 2, 8"
G/G#,"7, 11, 2, 8"
G/A,"7, 11, 2, 9"
Gadd9,"7, 11, 2, 9"
G+,"7, 11, 3"
Gaug,"7, 11, 3"
G7+5,"7, 11, 3, 5"
C5add6,"7, 9, 0"
C5add6,"7, 9, 0"
G2,"7, 9, 2"
Gsus2,"7, 9, 2"
Gsus2/A,"7, 9, 2"
Gsus2/C,"7, 9, 2, 0"
Gsus2/B,"7, 9, 2, 11"
Gsus2add6,"7, 9, 2, 4"
G5,"7,2"
G5/C,"7,2, 0"
G5/E,"7,2, 4"
G5/F,"7,2, 5"
G5/F#,"7,2, 6"
Ab,"8, 0, 3"
Ab/C,"8, 0, 3"
Ab/Eb,"8, 0, 3"
G#,"8, 0, 3"
G#/C,"8, 0, 3"
G#/D#,"8, 0, 3"
Ab/Bb,"8, 0, 3, 10"
G#/E,"8, 0, 3, 4"
G#6,"8, 0, 3, 5"
G#6add11,"8, 0, 3, 5, 1"
Ab6/Bb,"8, 0, 3, 5, 10"
Ab7,"8, 0, 3, 6"
Abm7,"8, 0, 3, 6"
AbM7,"8, 0, 3, 6"
Abmaj7,"8, 0, 3, 6"
G#7,"8, 0, 3, 6"
G#7/C,"8, 0, 3, 6"
G#7/D#,"8, 0, 3, 6"
G#7/F#,"8, 0, 3, 6"
G#7/C#,"8, 0, 3, 6, 1"
G#maj9,"8, 0, 3, 6, 10"
G#sus4,"8, 1, 3"
G#7sus4,"8, 1, 3, 6"
G#sus2,"8, 10, 3"
Abdim,"8, 11, 2"
G#o,"8, 11, 2"
G#dim,"8, 11, 2"
G#dim7,"8, 11, 2, 5"
Abm7b5,"8, 11, 2, 6"
Abm,"8, 11, 3"
G#m,"8, 11, 3"
G#min,"8, 11, 3"
G#m/E,"8, 11, 3, 4"
G#m6,"8, 11, 3, 4"
G#madd6,"8, 11, 3, 4"
G#m7,"8, 11, 3, 6"
Ab5,"8, 3"
G#5,"8, 3"
Adim,"9, 0, 3"
Adim7,"9, 0, 3, 6"
Am7b5,"9, 0, 3, 7"
Am(maj7),"9, 0, 3, 8"
A-,"9, 0, 4"
Am,"9, 0, 4"
Am ,"9, 0, 4"
Am/C,"9, 0, 4"
Am/E,"9, 0, 4"
Am9,"9, 0, 4, 10"
Am/B,"9, 0, 4, 11"
Amadd9,"9, 0, 4, 11"
Amadd9/D,"9, 0, 4, 11, 2"
Amadd9/F,"9, 0, 4, 11, 5"
Amadd9/G,"9, 0, 4, 11, 7"
Am/D,"9, 0, 4, 2"
Am/F,"9, 0, 4, 5"
Am6,"9, 0, 4, 5"
Am/F#,"9, 0, 4, 6"
Am/G,"9, 0, 4, 7"
Am7,"9, 0, 4, 7"
Am7/G,"9, 0, 4, 7"
Ammaj7,"9, 0, 4, 8"
A3,"9, 1"
A,"9, 1, 4"
A/C#,"9, 1, 4"
A/E,"9, 1, 4"
A(maj),"9, 1, 4"
AM,"9, 1, 4"
A/C,"9, 1, 4, 0"
A/Bb,"9, 1, 4, 10"
A/B,"9, 1, 4, 11"
A/B,"9, 1, 4, 11"
A9,"9, 1, 4, 11"
A(add9)/C#,"9, 1, 4, 11"
Aadd9,"9, 1, 4, 11"
Amaj9,"9, 1, 4, 11"
A/D,"9, 1, 4, 2"
Aadd11,"9, 1, 4, 2"
A11,"9, 1, 4, 2"
A/F#,"9, 1, 4, 6"
A13,"9, 1, 4, 6"
A6,"9, 1, 4, 6"
Aadd13,"9, 1, 4, 6"
A/G,"9, 1, 4, 7"
A7,"9, 1, 4, 7"
A7/C#,"9, 1, 4, 7"
A7/E,"9, 1, 4, 7"
A7/G,"9, 1, 4, 7"
A7/G,"9, 1, 4, 7"
AM7,"9, 1, 4, 7"
Amaj7,"9, 1, 4, 7"
A7b9,"9, 1, 4, 7, 10"
A7/D,"9, 1, 4, 7, 2"
A7add11,"9, 1, 4, 7, 6"
A/Ab,"9, 1, 4, 8"
A/G#,"9, 1, 4, 8"
A+,"9, 1, 5"
Aaug/C#,"9, 1, 5"
Aaug,"9, 1, 5"
A2,"9, 11, 4"
Asus2/E,"9, 11, 4"
Asus2,"9, 11, 4"
Asus2/C,"9, 11, 4, 0"
Asus2/D,"9, 11, 4, 2"
Asus2/F#,"9, 11, 4, 6"
Asus2/G,"9, 11, 4, 7"
A4,"9, 2, 4"
Asus,"9, 2, 4"
Asus4,"9, 2, 4"
A9sus4,"9, 2, 4, 11"
A7sus,"9, 2, 4, 7"
Asus7,"9, 2, 4, 7"
A7sus4,"9, 2, 4, 7"
Asus/G,"9, 2, 4, 7"
A7sus4/C#,"9, 2, 4, 7, 1"
Asus2/G#,"9, 2, 4, 8"
A5,"9, 4"
A5/E,"9, 4"
,N/A
chords,
